Make,Model,Year,MaintenanceCostYearly
vauxhall, insignia,2017,370.0
audi, s4,2019,553.12
audi, a3,2007,857.83
bmw, 4 series,2017,780.03
bmw, 1 series,2014,600.8
audi, tt,2018,507.67
mercedes,180,2014,945.88
toyota, yaris,2017,598.26
toyota, land cruiser,2005,920.52
toyota, camry,2020,445.15
ford, b-max,2016,436.82
bmw, 6 series,2018,885.88
bmw, x3,2007,1285.46
mercedes, gle class,2016,860.47
volkswagen, sharan,2015,617.36
ford, fiesta,2010,519.94
skoda, octavia,2019,472.11
vauxhall, astra,2013,687.62
volkswagen, touran,2014,470.64
bmw, 1 series,2015,940.8
toyota, avensis,2004,767.24
volkswagen, tiguan,2020,357.03
hyundai, i800,2016,566.92
mercedes, cl class,2013,776.23
toyota, verso,2009,565.64
vauxhall, insignia,2010,473.83
ford, puma,2002,1091.76
volkswagen, amarok,2017,524.36
bmw, 2 series,2016,683.23
ford, b-max,2012,440.44
toyota, c-hr,2018,585.48
vauxhall, meriva,2016,551.73
vauxhall, combo life,2020,535.95
volkswagen, touareg,2013,508.57
bmw, x3,2014,975.01
ford, fiesta,2007,861.7
mercedes, b class,2009,1105.31
vauxhall, corsa,2019,593.96
audi, q5,2013,823.85
mercedes, b class,2019,633.3
ford, mustang,2020,570.48
toyota, verso,2003,741.09
toyota, hilux,2020,374.85
volkswagen, scirocco,2018,569.43
volkswagen, touran,2017,495.5
audi, a7,2015,528.5
ford, ka+,2014,584.03
toyota, land cruiser,1998,971.32
volkswagen, sharan,2013,627.53
bmw, 1 series,2004,982.74
skoda, yeti outdoor,2016,510.47
ford, tourneo custom,2018,415.23
toyota, aygo,2014,503.93
ford, mondeo,2015,399.96
hyundai, i10,2015,601.33
skoda, scala,2019,541.61
volkswagen, beetle,2001,662.85
audi, rs4,2020,541.92
bmw, z4,2009,752.17
mercedes, g class,2018,685.89
vauxhall, viva,2016,549.07
toyota, prius,2015,526.29
volkswagen, scirocco,2008,683.45
vauxhall, zafira tourer,2014,650.35
audi, rs4,2018,783.53
bmw, x5,2009,1060.49
bmw, 7 series,2007,831.34
toyota, aygo,2007,786.28
mercedes, glb class,2020,484.4
volkswagen, california,2018,511.12
audi, q7,2012,921.44
bmw, x6,2014,933.14
ford, b-max,2013,643.89
hyundai, i10,2014,579.22
bmw, m3,2015,1005.03
ford, ranger,2013,573.72
mercedes, b class,2016,725.53
vauxhall, mokka,2013,654.86
toyota, verso,2011,558.34
vauxhall, corsa,2010,514.38
audi, a6,2018,750.86
ford, fiesta,2016,391.58
toyota, rav4,2004,639.98
volkswagen, passat,2012,780.44
audi, q5,2009,849.55
vauxhall, adam,2018,371.22
volkswagen, golf sv,2014,543.39
bmw, m4,2018,571.41
mercedes, e class,2001,1023.41
volkswagen, amarok,2018,485.63
vauxhall, crossland x,2020,540.1
audi, a3,2017,681.62
audi, a5,2010,813.64
ford, fiesta,2015,442.32
vauxhall, corsa,2011,685.72
vauxhall, mokka,2016,636.95
volkswagen, caravelle,2019,569.02
audi, q5,2010,728.49
bmw, m3,2019,646.04
hyundai, getz,2007,596.64
mercedes, e class,2006,1390.82
hyundai, santa fe,2015,516.78
skoda, fabia,2017,408.52
audi, sq5,2016,718.06
mercedes, a class,2013,879.08
toyota, aygo,2019,547.13
vauxhall, combo life,2019,551.28
volkswagen, cc,2012,603.47
mercedes, gl class,2015,654.45
skoda, yeti,2013,692.2
volkswagen, up,2020,433.76
ford, galaxy,2005,635.71
hyundai, i30,2009,596.76
volkswagen, beetle,2007,644.32
ford, grand c-max,2016,572.89
hyundai, i800,2019,461.64
hyundai, i30,2008,901.46
skoda, octavia,2018,349.22
mercedes, sl class,2020,652.18
mercedes, e class,2008,1206.69
bmw, i3,2017,621.32
volkswagen, caddy,2015,442.2
volkswagen, arteon,2019,369.33
audi, a4,2015,626.49
audi, rs5,2018,647.05
bmw, x5,2018,808.27
bmw, m6,2014,942.73
ford, mustang,2017,600.68
audi, a1,2014,720.25
audi, a8,2018,703.22
bmw, m5,2012,789.43
ford, galaxy,2018,521.07
audi, a5,2014,919.93
mercedes, c class,2011,919.38
volkswagen, tiguan,2019,334.64
audi, q3,2017,670.06
toyota, iq,2012,635.95
bmw, z4,2016,888.07
vauxhall, zafira,1970,3319.8
volkswagen, caravelle,2013,520.41
audi, a3,2016,534.58
bmw, z3,1997,1848.86
skoda, fabia,2008,639.47
skoda, octavia,2009,685.63
volkswagen, eos,2015,530.43
mercedes, sl class,2001,1492.37
volkswagen, cc,2014,683.2
ford, s-max,2019,382.2
bmw, 1 series,2020,650.0
hyundai, i30,2011,648.56
mercedes, sl class,2018,826.51
toyota, rav4,2008,741.15
toyota, aygo,2009,796.76
audi, a5,2015,771.68
audi, q5,2011,617.11
mercedes, gla class,2018,506.3
mercedes, a class,2007,1181.58
bmw, x3,2018,606.83
skoda, yeti outdoor,2018,376.0
volkswagen, up,2014,690.86
volkswagen, caddy maxi life,2019,334.66
volkswagen, scirocco,2014,446.47
bmw, 5 series,2003,1398.62
ford, mondeo,2013,415.86
mercedes, sl class,2015,967.61
vauxhall, antara,2008,821.43
audi, a8,2019,482.22
hyundai, kona,2018,382.33
mercedes, gla class,2017,783.48
toyota, corolla,2004,729.66
audi, q7,2016,739.09
ford, tourneo custom,2019,362.89
hyundai, ix20,2019,359.6
vauxhall, astra,2017,457.58
audi, a8,2014,776.2
skoda, roomster,2011,713.71
volkswagen, sharan,2001,881.9
toyota, land cruiser,2015,466.63
audi, tt,2008,936.26
ford, ka+,2018,508.71
mercedes, cls class,2016,602.5
skoda, yeti outdoor,2014,586.55
ford, tourneo connect,2017,408.64
volkswagen, polo,2007,831.9
bmw, z3,1998,1474.91
mercedes, slk,2001,1348.0
vauxhall, cascada,2014,487.78
volkswagen, passat,2019,522.66
bmw, x1,2011,974.49
volkswagen, golf,2006,580.09
ford, mondeo,2017,358.61
volkswagen, sharan,2016,417.8
volkswagen, beetle,2012,766.58
volkswagen, jetta,2016,457.84
hyundai, i30,2013,621.12
hyundai, i10,2009,648.82
skoda, citigo,2014,625.15
vauxhall, zafira tourer,2012,638.79
audi, r8,2019,445.01
ford, kuga,2010,651.55
mercedes,220,2018,646.5
volkswagen, tiguan,2010,664.93
audi, q2,2020,451.57
audi, q7,2009,999.08
bmw, m4,2015,726.17
ford, fiesta,2000,1240.93
vauxhall, insignia,2012,643.33
hyundai, tucson,2015,382.71
hyundai, i30,2019,395.04
toyota, auris,2017,503.13
vauxhall, meriva,2012,668.24
skoda, fabia,2018,355.1
toyota, verso,2012,507.24
vauxhall, astra,2018,441.35
toyota, proace verso,2019,407.26
volkswagen, golf,2004,871.81
mercedes, b class,2011,669.48
toyota, verso,2014,683.46
volkswagen, jetta,2017,640.05
bmw, x6,2013,884.36
ford, ka+,2013,723.75
hyundai, i30,2015,561.72
vauxhall, mokka,2017,357.46
bmw, z4,2003,1272.29
ford, galaxy,2017,481.74
volkswagen, polo,2020,372.39
ford, focus,2010,542.64
mercedes, m class,2015,805.45
mercedes, v class,2018,709.48
mercedes, g class,2013,818.71
ford, kuga,2012,433.06
mercedes, g class,2015,720.69
skoda, superb,2012,609.29
volkswagen, caravelle,2016,534.61
bmw, 6 series,2019,705.48
ford, kuga,2013,450.43
ford, mondeo,2020,523.55
vauxhall, gtc,2015,543.86
audi, a6,2004,1227.07
mercedes, m class,2007,864.82
mercedes, cls class,2011,1169.78
ford, s-max,2018,358.39
mercedes, sl class,2011,848.1
mercedes, s class,2020,746.89
volkswagen, polo,2005,805.53
bmw, 5 series,2007,786.55
hyundai, santa fe,2016,499.76
volkswagen, t-roc,2018,519.07
volkswagen, tiguan,2012,527.23
audi, a4,2013,594.04
audi, a8,1997,1225.3
bmw, x4,2020,622.89
bmw, 4 series,2013,721.7
bmw, 3 series,2009,1268.31
mercedes, slk,2015,640.56
skoda, roomster,2009,570.16
toyota, urban cruiser,2012,650.62
ford, grand c-max,2014,478.6
vauxhall, zafira,2006,818.57
volkswagen, amarok,2016,416.86
vauxhall, zafira,2009,730.67
volkswagen, eos,2011,668.15
vauxhall, astra,2015,625.05
volkswagen, golf,2019,527.86
bmw, x5,2014,750.67
bmw, 3 series,2010,1130.48
ford, mondeo,2011,484.8
skoda, superb,2013,449.46
vauxhall, corsa,2014,671.62
vauxhall, crossland x,2019,501.94
vauxhall, vectra,2005,618.47
mercedes, gla class,2019,659.62
mercedes, e class,2013,802.17
mercedes, e class,2009,1143.0
skoda, citigo,2012,776.42
ford, puma,2019,445.51
ford, galaxy,2012,594.32
vauxhall, meriva,2017,539.09
volkswagen, beetle,2017,365.45
bmw, 4 series,2015,623.84
ford, ka+,2011,639.42
toyota, auris,2010,667.29
vauxhall, mokka x,2018,448.34
skoda, roomster,2012,611.73
volkswagen, caravelle,2015,621.69
volkswagen, caddy maxi,2015,410.21
volkswagen, beetle,2003,1104.33
bmw, x5,2013,946.54
bmw, 3 series,2011,823.54
ford, focus,2006,575.12
toyota, auris,2008,889.51
audi, q3,2018,762.8
vauxhall, mokka,2014,630.94
volkswagen, touran,2007,926.98
ford, mustang,2018,386.78
toyota, avensis,2013,467.16
bmw, z4,2010,1091.91
hyundai, amica,2007,615.13
mercedes, b class,2014,834.74
toyota, aygo,2017,406.36
toyota, prius,2018,546.95
volkswagen, passat,2013,612.51
volkswagen, tiguan allspace,2018,524.04
audi, rs3,2013,564.2
bmw, 1 series,2017,595.69
bmw, 1 series,2013,981.02
ford, fusion,2007,608.69
volkswagen, touran,2018,354.17
audi, a5,2020,446.36
bmw, 3 series,2005,1079.23
toyota, yaris,2016,596.46
toyota, yaris,2010,591.02
volkswagen, polo,2011,555.82
ford, c-max,2010,733.45
hyundai, santa fe,2002,948.22
mercedes, c class,2017,550.22
toyota, rav4,2013,457.37
bmw, 5 series,2009,1021.7
skoda, fabia,2006,760.72
toyota, verso,2017,625.87
vauxhall, adam,2014,457.97
vauxhall, kadjar,2018,497.37
volkswagen, beetle,2016,639.95
audi, a3,2013,921.65
audi, a5,2013,864.84
bmw, m2,2016,853.14
vauxhall, agila,2015,593.46
vauxhall, zafira,2010,585.43
volkswagen, t-roc,2020,344.93
ford, grand tourneo connect,2017,519.5
ford, ka+,2016,383.47
mercedes, slk,2012,959.49
toyota, yaris,2005,601.32
bmw, x3,2020,636.41
mercedes, clk,2003,1345.1
mercedes, sl class,1998,1703.94
volkswagen, california,2020,433.59
bmw, x5,2020,632.15
ford, ka+,2017,549.98
hyundai, i10,2016,365.36
toyota, auris,2014,543.93
toyota, avensis,2006,774.18
volkswagen, passat,2016,466.42
bmw, m3,2016,622.5
mercedes, e class,2017,721.28
mercedes, sl class,2002,1597.78
audi, a3,2009,996.9
toyota, yaris,2013,419.13
toyota, gt86,2019,468.0
toyota, c-hr,2019,377.37
volkswagen, tiguan,2008,889.8
volkswagen, touareg,2014,507.96
mercedes,200,2018,766.81
mercedes, c class,2004,1354.75
skoda, citigo,2017,635.38
toyota, gt86,2017,615.33
audi, a5,2019,677.55
bmw, m3,2004,1387.79
ford, mondeo,2002,872.92
ford, fusion,2009,652.31
audi, a6,2020,615.8
skoda, octavia,2017,469.22
toyota, prius,2011,675.23
volkswagen, sharan,2006,647.47
volkswagen, touran,2012,619.7
volkswagen, eos,2012,474.53
audi, a6,2012,817.68
bmw, 7 series,2014,850.53
mercedes, s class,2014,965.19
mercedes, c class,2012,1119.45
volkswagen, tiguan,2013,751.34
bmw, 5 series,2002,971.16
ford, grand c-max,2017,463.56
mercedes, cls class,2020,520.84
vauxhall, insignia,2018,496.89
bmw, 7 series,2020,546.26
bmw, x1,2010,871.59
ford, kuga,2020,542.82
volkswagen, t-cross,2019,532.49
mercedes, cl class,2016,584.21
skoda, fabia,2014,696.19
audi, tt,2009,921.02
mercedes, cls class,2013,747.43
bmw, m3,2009,1122.7
mercedes, s class,2010,739.87
skoda, fabia,2012,451.52
bmw, 5 series,2016,753.62
toyota, prius,2016,509.23
mercedes, slk,2002,1466.51
hyundai, tucson,2018,584.09
mercedes, c class,2014,726.89
vauxhall, kadjar,2019,380.9
volkswagen, touran,2013,452.52
skoda, yeti,2012,672.03
audi, q3,2011,626.95
ford, kuga,2017,489.07
mercedes, a class,2011,706.85
mercedes, m class,2009,997.35
audi, q7,2019,508.76
audi, a7,2011,978.83
bmw, m4,2020,476.05
bmw, 5 series,2000,1395.61
vauxhall, meriva,2007,731.88
mercedes, sl class,1997,1958.19
toyota, aygo,2011,454.21
audi, a4,2018,585.73
bmw, x3,2013,1081.51
bmw, 3 series,2018,841.75
hyundai, i40,2018,439.98
ford, galaxy,2013,556.0
mercedes, v class,2016,662.35
toyota, verso,2015,495.51
vauxhall, zafira tourer,2016,374.8
hyundai, i20,2020,502.77
hyundai, tucson,2020,470.22
toyota, rav4,2003,1112.03
toyota, auris,2012,677.58
mercedes, s class,2019,780.13
volkswagen, eos,2008,628.12
audi, s3,2003,1120.89
bmw, 3 series,2020,697.19
mercedes, sl class,2014,849.91
vauxhall, zafira tourer,2017,638.8
audi, a3,2011,755.95
bmw, 6 series,2016,719.09
ford, tourneo connect,2020,460.23
mercedes, gl class,2014,647.51
audi, q7,2017,667.92
volkswagen, scirocco,2012,595.32
volkswagen, cc,2015,691.42
bmw, m4,2019,782.52
bmw, x4,2014,819.16
ford, tourneo custom,2016,585.29
ford, tourneo connect,2019,552.03
mercedes, gla class,2016,930.92
mercedes, b class,2017,702.83
toyota, rav4,2009,626.32
ford, s-max,2007,739.41
mercedes, slk,2016,812.97
mercedes, c class,2005,1236.12
ford, edge,2017,415.6
hyundai, ix35,2016,619.37
toyota, supra,2019,401.07
volkswagen, golf,2002,1032.25
audi, r8,2008,756.21
bmw, x5,2017,767.25
bmw, i3,2015,868.25
bmw, 3 series,2012,854.79
volkswagen, golf sv,2016,447.59
volkswagen, caddy maxi life,2020,375.52
mercedes, c class,2015,633.24
mercedes, v class,2019,499.73
toyota, corolla,2019,584.24
toyota, yaris,2003,940.38
audi, a2,2003,989.15
bmw, m2,2018,625.68
volkswagen, caddy maxi,2017,438.31
audi, r8,2020,657.44
bmw, z4,2017,707.8
ford, b-max,2014,595.95
hyundai, i30,2007,932.2
mercedes, gl class,2007,1332.18
bmw, m2,2020,809.67
volkswagen, amarok,2020,373.31
bmw, i8,2015,679.95
ford, s-max,2010,523.08
volkswagen, touareg,2009,560.66
volkswagen, amarok,2019,481.67
audi, a4,2016,741.29
hyundai, i40,2017,585.66
toyota, hilux,2019,542.75
vauxhall, meriva,2013,541.04
volkswagen, sharan,2011,758.33
audi, rs6,2020,672.34
ford, grand tourneo connect,2018,539.79
hyundai, santa fe,2018,406.53
mercedes, cl class,2017,601.18
volkswagen, scirocco,2009,535.51
vauxhall, astra,1997,1256.64
volkswagen, caravelle,2014,470.4
volkswagen, caravelle,2005,959.93
audi, s4,2017,495.35
ford, streetka,2005,1013.21
hyundai, i20,2018,571.9
mercedes, e class,2014,872.07
mercedes, a class,2014,862.76
mercedes, c class,2008,814.22
toyota, gt86,2013,442.15
toyota, verso-s,2012,770.2
hyundai, ix35,2010,704.25
mercedes, b class,2015,633.59
vauxhall, grandland x,2017,608.52
volkswagen, passat,2011,699.53
mercedes, b class,2005,1150.66
skoda, octavia,2020,355.3
toyota, prius,2010,781.56
bmw, z4,2012,1039.05
ford, ka+,2018,611.6
hyundai, ioniq,2018,614.79
mercedes, x-class,2019,801.15
ford, fusion,2005,833.21
bmw, x5,2010,1221.53
mercedes, c class,2002,1485.32
vauxhall, agila,2008,654.64
hyundai, i800,2018,405.5
vauxhall, insignia,2020,439.71
audi, rs3,2017,634.71
bmw, 1 series,2005,1300.03
toyota, aygo,2020,423.17
volkswagen, touareg,2016,532.17
volkswagen, touran,2006,621.53
bmw, x6,2016,950.33
bmw, 6 series,2006,929.51
ford, s-max,2011,779.71
mercedes, e class,2010,868.37
bmw, 2 series,2019,526.8
bmw, x7,2020,778.81
ford, focus,2003,1055.34
toyota, yaris,2006,866.94
toyota, land cruiser,2018,402.48
volkswagen, amarok,2015,663.29
bmw, 3 series,2019,662.21
ford, fiesta,2004,736.93
mercedes, c class,2019,721.93
skoda, superb,2020,546.96
audi, q5,2018,480.2
volkswagen, fox,2007,646.52
audi, rs3,2020,529.47
volkswagen, tiguan,2015,445.51
vauxhall, viva,2015,421.86
vauxhall, meriva,2010,688.28
bmw, 5 series,2019,796.22
ford, tourneo connect,2015,445.61
ford, mondeo,2012,427.75
ford, fusion,2008,505.96
audi, a3,2015,576.69
ford, fiesta,2014,442.02
toyota, land cruiser,2006,598.21
volkswagen, shuttle,2017,642.24
bmw, 3 series,1999,1436.92
volkswagen, jetta,2011,713.23
volkswagen, golf,2012,498.59
audi, a7,2014,708.44
bmw, x3,2019,536.85
bmw, 3 series,2001,1571.92
hyundai, tucson,2009,592.57
audi, q7,2011,813.24
toyota, verso-s,2011,595.92
audi, r8,2013,697.48
ford, ka+,2019,381.13
bmw, i8,2018,767.41
mercedes, c class,2007,871.67
mercedes, cla class,2018,888.89
skoda, fabia,2009,589.32
ford, s-max,2015,447.45
vauxhall, corsa,2016,662.48
mercedes, e class,2005,1229.47
skoda, kodiaq,2019,349.98
vauxhall, ampera,2015,534.54
audi, q5,2014,784.59
mercedes, x-class,2020,640.93
volkswagen, tiguan allspace,2020,399.66
mercedes, c class,2009,935.86
bmw, x3,2006,933.37
ford, focus,2015,535.5
toyota, prius,2019,581.23
toyota, rav4,2018,478.6
bmw, 5 series,2014,900.63
bmw, 1 series,2019,613.3
toyota, land cruiser,2013,561.89
audi, a6,2015,834.31
mercedes, slk,2010,813.22
volkswagen, caddy,2017,419.61
volkswagen, eos,2014,576.7
bmw, 7 series,2019,619.09
bmw, z4,2020,747.0
bmw, x5,2012,726.07
vauxhall, corsa,2008,744.91
audi, q7,2014,878.47
audi, q5,2008,949.85
mercedes, s class,2001,1069.72
audi, q3,2012,858.41
hyundai, i30,2016,467.39
hyundai, i40,2016,647.33
vauxhall, vivaro,2015,407.0
toyota, rav4,2011,793.24
toyota, yaris,2000,1089.09
toyota, c-hr,2017,502.77
volkswagen, caddy maxi,2012,558.09
audi, q7,2020,453.72
mercedes, c class,2016,717.84
mercedes, cla class,2013,1011.86
skoda, fabia,2015,554.76
bmw, 3 series,2015,573.53
volkswagen, golf sv,2020,560.23
ford, grand tourneo connect,2015,602.09
vauxhall, vectra,2007,691.04
toyota, avensis,2012,461.72
vauxhall, zafira,2017,457.74
audi, a8,2011,1015.36
hyundai, ioniq,2019,533.33
mercedes, v class,2020,600.98
toyota, iq,2009,877.02
vauxhall, viva,2018,494.22
audi, s4,2007,861.82
audi, a3,2010,993.89
mercedes, slk,2003,1179.48
vauxhall, zafira tourer,2013,697.54
bmw, i8,2019,652.84
toyota, gt86,2016,527.76
toyota, corolla,2003,889.19
skoda, octavia,2012,613.21
toyota, rav4,2007,864.9
mercedes, sl class,2017,552.21
audi, q8,2020,564.2
vauxhall, meriva,2014,511.75
audi, a4,2012,759.05
vauxhall, insignia,2015,654.58
ford, ka+,2017,509.4
ford, focus,2007,764.28
mercedes, slk,2000,1114.44
toyota, avensis,2009,874.37
audi, a1,2013,553.11
audi, rs5,2014,705.61
audi, a5,2012,803.87
bmw, i3,2016,758.58
vauxhall, astra,2014,595.16
volkswagen, fox,2009,645.24
ford, fiesta,2009,543.0
ford, focus,2014,645.03
ford, kuga,2009,493.23
toyota, yaris,2011,656.73
vauxhall, antara,2009,484.18
volkswagen, touareg,2018,502.05
toyota, proace verso,2020,430.41
toyota, urban cruiser,2011,742.58
bmw, 5 series,2018,792.79
ford, tourneo connect,2018,576.46
hyundai, santa fe,2006,729.54
mercedes, cl class,2018,864.19
mercedes, cla class,2015,704.15
volkswagen, arteon,2020,387.02
audi, a5,2009,1097.62
ford, galaxy,2007,547.28
hyundai, i10,2019,387.91
hyundai, ioniq,2016,659.07
bmw, 4 series,2019,624.71
hyundai, i10,2011,451.48
mercedes, a class,2015,900.57
vauxhall, adam,2017,517.66
volkswagen, up,2013,426.01
volkswagen, scirocco,2016,580.08
volkswagen, touareg,2017,605.01
audi, q3,2016,550.72
audi, s5,2014,763.66
mercedes, a class,2019,547.54
vauxhall, corsa,2004,795.09
mercedes, glc class,2018,539.66
skoda, rapid,2013,519.44
vauxhall, corsa,2003,1100.54
vauxhall, crossland x,2017,633.67
ford, fiesta,2011,703.0
ford, focus,2008,551.52
toyota, hilux,2016,540.94
vauxhall, corsa,2009,796.23
ford, puma,2020,549.75
volkswagen, sharan,2020,467.54
ford, s-max,2016,563.28
ford, c-max,2009,504.15
hyundai, i20,2009,749.91
volkswagen, touran,2015,693.23
volkswagen, touran,2010,756.27
hyundai, kona,2019,514.65
mercedes, a class,2020,671.32
mercedes, clc class,2010,785.3
vauxhall, astra,2004,633.26
toyota, hilux,2014,449.73
